date,lemonde,theguardian

2008-01,0,2
2008-02,0,4
2008-03,0,2
2008-04,0,1
2008-05,2,3
2008-06,0,1
2008-07,0,0
2008-08,0,0
2008-09,0,1
2008-10,0,3
2008-11,0,3
2008-12,0,0
2009-01,0,18
2009-02,1,3
2009-03,1,2
2009-04,0,5
2009-05,0,1
2009-06,0,3
2009-07,0,5
2009-08,0,0
2009-09,0,5
2009-10,0,2
2009-11,1,1
2009-12,0,0
2010-01,0,1
2010-02,0,1
2010-03,1,3
2010-04,1,4
2010-05,0,4
2010-06,1,5
2010-07,0,1
2010-08,1,6
2010-09,1,0
2010-10,0,0
2010-11,0,4
2010-12,1,4
2011-01,0,3
2011-02,0,2
2011-03,2,4
2011-04,0,2
2011-05,1,7
2011-06,0,7
2011-07,0,1
2011-08,0,3
2011-09,0,1
2011-10,0,3
2011-11,1,2
2011-12,4,2
2012-01,5,3
2012-02,6,7
2012-03,8,5
2012-04,1,3
2012-05,0,10
2012-06,1,8
2012-07,0,3 
2012-08,0,1
2012-09,1,4
2012-10,1,1
2012-11,1,5
2012-12,3,6
2013-01,0,3
2013-02,0,10
2013-03,0,6
2013-04,3,9
2013-05,2,6
2013-06,7,4
2013-07,1,6
2013-08,0,4
2013-09,0,2
2013-10,1,2 
2013-11,1,4
2013-12,0,4
2014-01,2,3
2014-02,2,2
2014-03,2,8
2014-04,1,3
2014-05,2,8
2014-06,2,10
2014-07,0,2
2014-08,0,3
2014-09,2,7
2014-11,0,2
2014-10,2,5
2014-12,3,0
2015-01,0,3
2015-02,1,6
2015-03,1,9
2015-04,0,15
2015-05,0,6
2015-06,0,3
2015-07,0,12
2015-08,0,8
2015-09,3,3
2015-10,0,8
2015-11,0,9
2015-12,0,6
2016-01,0,8
2016-02,0,7
2016-03,2,23
2016-04,3,16
2016-05,1,10
2016-06,3,6
2016-07,1,7
2016-08,0,4
2016-09,1,5
2016-10,1,8
2016-11,3,7
2016-12,0,9
2017-01,0,3
2017-02,0,9
2017-03,1,9
2017-04,1,5
2017-05,0,8
2017-06,1,8
2017-07,2,7
2017-08,0,6
2017-09,1,7
2017-10,1,10
2017-11,2,9
2017-12,1,2
2018-01,1,2
2018-02,1,5
2018-03,2,8
2018-04,7,6
2018-05,2,8
2018-06,1,5
2018-07,1,5
2018-08,0,5
2018-09,1,3
2018-10,3,8
2018-11,0,6
2018-12,0,6
2019-01,1,3
2019-02,0,3
2019-03,1,12
2019-04,4,8
2019-05,0,7
2019-06,0,8
